"Taxon","Bhat","Gm_mean","Gm_se"
"Alternaria",1.46403527550668,1.46169036687283,1.08833119844933
"Aureobasidium",0.670238872847006,0.670941405754353,1.09607347723721
"Cladosporium",0.855308332922721,0.85521773363263,1.13332465537147
"Dioszegia",0.278262006395464,0.278612415723325,1.10471795988958
"Epicoccum",1.5659582418104,1.56646879206426,1.13129446835659
"Fusarium",2.78566249415155,2.78728722460928,1.1101353680786
"Melampsora",8.56641092019315,8.54830899394943,1.06296035611926
"Penicillium",0.2140465749878,0.214465773965557,1.09736763821333
"Trichoderma",0.535335903014835,0.534615049128385,1.0709759132419
